,total_points,minutes,goals_scored,assists,clean_sheets,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,value
total_points,1.0,0.6791767699434319,0.6430895417397513,0.4309762627497523,0.5800364156367785,0.7390379156133693,0.9420288106891967,0.8561000006159609,0.461541759076029,0.5817860387842471,0.7950282468585972,0.49402411368271504,0.3740676350184486,0.28764411661153577
minutes,0.6791767699434319,1.0,0.2294565258019691,0.23102621828566705,0.4609157160312847,0.292270902023263,0.7002898009037564,0.7172209066532919,0.5514992839728456,0.4718119304418579,0.7208094952015269,0.3440042716077597,0.417042425921371,0.3063607503099048
goals_scored,0.6430895417397513,0.2294565258019691,1.0,0.07049037491849944,0.13452014872036783,0.6549506122253206,0.5986055455935704,0.6683178869098886,0.1927963772536534,0.6196026303378445,0.6206833142512328,0.6328296559396998,0.1368284131832764,0.23808518074771406
assists,0.4309762627497523,0.23102621828566705,0.07049037491849944,1.0,0.1229576099944169,0.27119586380386446,0.39057715055950337,0.33885295276256316,0.32862414574546567,0.20510975360049463,0.3595217535498013,0.13935527587307894,0.3699458748386894,0.13229049169865215
clean_sheets,0.5800364156367785,0.4609157160312847,0.13452014872036783,0.1229576099944169,1.0,0.29303826006054906,0.5485405412199831,0.33535216086637204,0.27912173481604136,0.25014652311034247,0.35595053913940466,0.18753317782161905,0.2077575483428735,0.18067265159666648
bonus,0.7390379156133693,0.292270902023263,0.6549506122253206,0.27119586380386446,0.29303826006054906,1.0,0.6780797357722844,0.6284300940763983,0.28930859666940484,0.46018744241830073,0.5778495497591621,0.4065032376415365,0.2260982601767383,0.1885175580691778
bps,0.9420288106891967,0.7002898009037564,0.5986055455935704,0.39057715055950337,0.5485405412199831,0.6780797357722844,1.0,0.8653757861591181,0.5425200777391405,0.5650497742132761,0.823883206809426,0.4541483151277903,0.4356750918199361,0.29155017316231685
influence,0.8561000006159609,0.7172209066532919,0.6683178869098886,0.33885295276256316,0.33535216086637204,0.6284300940763983,0.8653757861591181,1.0,0.5009112508085931,0.5809958435476358,0.8782446301293699,0.4917698494703574,0.39712145135601024,0.24193237681311572
creativity,0.461541759076029,0.5514992839728456,0.1927963772536534,0.32862414574546567,0.27912173481604136,0.28930859666940484,0.5425200777391405,0.5009112508085931,1.0,0.41067621837835383,0.7625479693292239,0.27796952609391545,0.714658606581139,0.3216290953901194
threat,0.5817860387842471,0.4718119304418579,0.6196026303378445,0.20510975360049463,0.25014652311034247,0.46018744241830073,0.5650497742132761,0.5809958435476358,0.41067621837835383,1.0,0.8017731268553185,0.8012702251850105,0.3280793538108815,0.4160494875834083
ict_index,0.7950282468585972,0.7208094952015269,0.6206833142512328,0.3595217535498013,0.35595053913940466,0.5778495497591621,0.823883206809426,0.8782446301293699,0.7625479693292239,0.8017731268553185,1.0,0.635120954508889,0.5764153226054686,0.38891478696371734
expected_goals,0.49402411368271504,0.3440042716077597,0.6328296559396998,0.13935527587307894,0.18753317782161905,0.4065032376415365,0.4541483151277903,0.4917698494703574,0.27796952609391545,0.8012702251850105,0.635120954508889,1.0,0.20603430123654257,0.36392561525932443
expected_assists,0.3740676350184486,0.417042425921371,0.1368284131832764,0.3699458748386894,0.2077575483428735,0.2260982601767383,0.4356750918199361,0.39712145135601024,0.714658606581139,0.3280793538108815,0.5764153226054686,0.20603430123654257,1.0,0.2567176444040736
value,0.28764411661153577,0.3063607503099048,0.23808518074771406,0.13229049169865215,0.18067265159666648,0.1885175580691778,0.29155017316231685,0.24193237681311572,0.3216290953901194,0.4160494875834083,0.38891478696371734,0.36392561525932443,0.2567176444040736,1.0
