team,score,fixtures,fdr
FUL,7.365,BUR(A) NFO(H) WHU(A) CRY(A) LIV(H),2 2 2 3 4
BRE,7.135,LEE(H) WOL(A) BOU(H) TOT(H) EVE(A),2 2 3 3 3
BUR,6.36,FUL(H) BOU(A) EVE(H) NEW(H) BHA(A),2 4 2 3 3
LIV,6.295,BHA(H) TOT(A) WOL(H) LEE(H) FUL(A),3 3 2 2 3
ARS,6.185,WOL(H) EVE(A) BHA(H) AVL(H) BOU(A),2 3 3 3 4
MCI,5.915,CRY(A) WHU(H) NFO(A) SUN(A) CHE(H),3 2 3 3 3
AVL,5.914999999999999,WHU(A) MUN(H) CHE(A) ARS(A) NFO(H),2 3 3 5 2
BOU,5.715,MUN(A) BUR(H) BRE(A) CHE(A) ARS(H),3 2 3 3 4
MUN,5.695,BOU(H) AVL(A) NEW(H) WOL(H) LEE(A),3 3 3 2 3
SUN,5.635000000000001,NEW(H) BHA(A) LEE(H) MCI(H) TOT(A),3 3 2 4 3
CHE,5.56,EVE(H) NEW(A) AVL(H) BOU(H) MCI(A),2 4 3 3 4
WHU,5.55,AVL(H) MCI(A) FUL(H) BHA(H) WOL(A),3 4 2 3 2
NEW,5.525,SUN(A) CHE(H) MUN(A) BUR(A) CRY(H),3 3 3 2 3
NFO,5.195,TOT(H) FUL(A) MCI(H) EVE(H) AVL(A),3 3 4 2 3
EVE,5.14,CHE(A) ARS(H) BUR(A) NFO(A) BRE(H),3 4 2 3 3
LEE,4.865,BRE(A) CRY(H) SUN(A) LIV(A) MUN(H),3 3 3 4 3
TOT,4.779999999999999,NFO(A) LIV(H) CRY(A) BRE(A) SUN(H),3 4 3 3 2
BHA,4.74,LIV(A) SUN(H) ARS(A) WHU(A) BUR(H),4 2 5 2 2
CRY,4.62,MCI(H) LEE(A) TOT(H) FUL(H) NEW(A),4 3 3 2 4
WOL,3.33,ARS(A) BRE(H) LIV(A) MUN(A) WHU(H),5 3 4 3 2
