player_id,name,team,position,price,ownership,status,chance,news,nailedness_score,form_xg_score,form_pts_score,fixture_score,final_score,avg_minutes,avg_points,total_points,next_opponent,next_fdr,next_home,next_5_fdr,rank
136,Thiago,BRE,FWD,6.9,29.5,a,,,8.67,8.9,9.9,7.13,8.77,78.0,6.6,80,LEE,2,True,"[np.int64(2), np.int64(2), np.int64(3), np.int64(3), np.int64(3)]",1
430,Haaland,MCI,FWD,15.0,73.0,a,100.0,,10.0,8.54,7.2,5.92,8.73,85.6,4.8,122,CRY,3,False,"[np.int64(3), np.int64(2), np.int64(3), np.int64(3), np.int64(3)]",2
414,Foden,MCI,MID,8.5,23.7,a,100.0,,9.92,7.18,10.0,5.92,8.65,84.8,9.8,77,CRY,3,False,"[np.int64(3), np.int64(2), np.int64(3), np.int64(3), np.int64(3)]",3
287,Pickford,EVE,GKP,5.5,10.5,a,,,10.0,0.02,9.3,5.65,8.09,90.0,6.2,66,CHE,3,False,"[np.int64(3), np.int64(4), np.int64(2), np.int64(3), np.int64(3)]",4
220,Sánchez,CHE,GKP,4.8,14.0,a,,,10.0,0.02,7.8,6.12,8.01,90.0,5.2,57,EVE,2,True,"[np.int64(2), np.int64(4), np.int64(3), np.int64(3), np.int64(4)]",5
36,Cash,AVL,DEF,4.7,8.2,a,100.0,,10.0,2.14,8.1,6.51,7.88,89.2,5.4,73,WHU,2,False,"[np.int64(2), np.int64(3), np.int64(3), np.int64(5), np.int64(2)]",6
314,Leno,FUL,GKP,4.9,1.5,a,,,10.0,0.0,3.0,8.1,7.88,90.0,2.0,42,BUR,2,False,"[np.int64(2), np.int64(2), np.int64(2), np.int64(3), np.int64(4)]",6
226,Chalobah,CHE,DEF,5.2,11.6,a,100.0,,10.0,0.34,9.9,6.12,7.85,90.0,6.6,82,EVE,2,True,"[np.int64(2), np.int64(4), np.int64(3), np.int64(3), np.int64(4)]",8
403,Gvardiol,MCI,DEF,5.8,6.3,a,100.0,,10.0,2.38,7.5,6.51,7.81,85.8,5.0,53,CRY,3,False,"[np.int64(3), np.int64(2), np.int64(3), np.int64(3), np.int64(3)]",9
101,Kelleher,BRE,GKP,4.5,7.6,a,100.0,,10.0,0.02,3.0,7.85,7.81,90.0,2.0,40,LEE,2,True,"[np.int64(2), np.int64(2), np.int64(3), np.int64(3), np.int64(3)]",9
291,Tarkowski,EVE,DEF,5.4,6.6,a,,,10.0,1.14,10.0,5.65,7.81,90.0,7.0,73,CHE,3,False,"[np.int64(3), np.int64(4), np.int64(2), np.int64(3), np.int64(3)]",9
317,Andersen,FUL,DEF,4.5,3.5,a,100.0,,10.0,0.58,5.4,8.1,7.8,90.0,3.6,54,BUR,2,False,"[np.int64(2), np.int64(2), np.int64(2), np.int64(3), np.int64(4)]",12
411,O’Reilly,MCI,DEF,5.2,7.5,a,100.0,,10.0,3.36,6.6,6.51,7.78,90.0,4.4,62,CRY,3,False,"[np.int64(3), np.int64(2), np.int64(3), np.int64(3), np.int64(3)]",13
408,Rúben,MCI,DEF,5.6,5.2,a,,,10.0,0.7,8.4,6.51,7.78,90.0,5.6,67,CRY,3,False,"[np.int64(3), np.int64(2), np.int64(3), np.int64(3), np.int64(3)]",13
736,Donnarumma,MCI,GKP,5.7,10.4,a,,,10.0,0.0,5.4,6.51,7.76,90.0,3.6,43,CRY,3,False,"[np.int64(3), np.int64(2), np.int64(3), np.int64(3), np.int64(3)]",15
318,Bassey,FUL,DEF,4.5,0.6,a,,,10.0,0.14,5.4,8.1,7.75,90.0,3.6,44,BUR,2,False,"[np.int64(2), np.int64(2), np.int64(2), np.int64(3), np.int64(4)]",16
600,Areola,WHU,GKP,4.3,2.1,a,,,10.0,0.0,5.7,6.11,7.69,90.0,3.8,32,AVL,3,True,"[np.int64(3), np.int64(4), np.int64(2), np.int64(3), np.int64(2)]",17
16,Saka,ARS,MID,10.1,18.8,a,100.0,,8.38,6.36,9.3,6.18,7.68,75.4,6.2,64,WOL,2,True,"[np.int64(2), np.int64(3), np.int64(3), np.int64(3), np.int64(4)]",18
407,Matheus N.,MCI,DEF,5.3,1.4,a,,,10.0,1.02,7.5,6.51,7.68,90.0,5.0,57,CRY,3,False,"[np.int64(3), np.int64(2), np.int64(3), np.int64(3), np.int64(3)]",18
1,Raya,ARS,GKP,6.0,34.3,a,,,10.0,0.0,4.2,6.8,7.67,90.0,2.8,66,WOL,2,True,"[np.int64(2), np.int64(3), np.int64(3), np.int64(3), np.int64(4)]",20
22,Merino,ARS,MID,6.0,3.7,a,,,8.93,4.9,9.9,6.18,7.66,80.4,6.6,51,WOL,2,True,"[np.int64(2), np.int64(3), np.int64(3), np.int64(3), np.int64(4)]",21
237,Enzo,CHE,MID,6.7,13.2,a,100.0,,10.0,5.34,6.3,5.56,7.61,88.4,4.2,66,EVE,2,True,"[np.int64(2), np.int64(4), np.int64(3), np.int64(3), np.int64(4)]",22
322,Tete,FUL,DEF,4.5,0.4,a,100.0,,9.0,0.48,7.2,8.1,7.61,81.0,4.8,47,BUR,2,False,"[np.int64(2), np.int64(2), np.int64(2), np.int64(3), np.int64(4)]",22
684,Thiaw,NEW,DEF,5.0,2.8,a,,,10.0,1.04,7.8,6.08,7.6,90.0,5.2,49,SUN,3,False,"[np.int64(3), np.int64(3), np.int64(3), np.int64(2), np.int64(3)]",24
242,Dewsbury-Hall,EVE,MID,5.0,6.3,a,100.0,,10.0,3.18,10.0,5.14,7.57,89.0,9.6,74,CHE,3,False,"[np.int64(3), np.int64(4), np.int64(2), np.int64(3), np.int64(3)]",25
502,Sels,NFO,GKP,4.7,7.6,a,,,10.0,0.04,5.7,5.71,7.57,90.0,3.8,40,TOT,3,True,"[np.int64(3), np.int64(3), np.int64(4), np.int64(2), np.int64(3)]",25
470,Dúbravka,BUR,GKP,4.0,33.7,a,100.0,,10.0,0.06,3.0,7.0,7.55,90.0,2.0,43,FUL,2,True,"[np.int64(2), np.int64(4), np.int64(2), np.int64(3), np.int64(3)]",27
292,Mykolenko,EVE,DEF,4.9,0.5,a,100.0,,10.0,1.24,8.1,5.65,7.54,90.0,5.4,38,CHE,3,False,"[np.int64(3), np.int64(4), np.int64(2), np.int64(3), np.int64(3)]",28
508,N.Williams,NFO,DEF,4.7,3.5,a,,,10.0,1.36,7.5,5.71,7.48,90.0,5.0,43,TOT,3,True,"[np.int64(3), np.int64(3), np.int64(4), np.int64(2), np.int64(3)]",29
