club_name,club_short,fpl_team_code,understat_name,understat_team_id
Arsenal,ARS,3,Arsenal,83
Aston Villa,AVL,7,Aston Villa,71
Bournemouth,BOU,91,Bournemouth,73
Brentford,BRE,94,Brentford,244
Brighton,BHA,36,Brighton,220
Burnley,BUR,90,Burnley,92
Chelsea,CHE,8,Chelsea,80
Crystal Palace,CRY,31,Crystal Palace,78
Everton,EVE,11,Everton,72
Fulham,FUL,54,Fulham,228
Ipswich,IPS,40,Ipswich,285
Leeds,LEE,2,Leeds,245
Leicester,LEI,13,Leicester,75
Liverpool,LIV,14,Liverpool,87
Luton,LUT,102,Luton,256
Man City,MCI,43,Manchester City,88
Man Utd,MUN,1,Manchester United,89
Newcastle,NEW,4,Newcastle United,86
Norwich,NOR,45,Norwich,79
Nott'm Forest,NFO,17,Nottingham Forest,249
Sheffield Utd,SHU,49,Sheffield United,238
Southampton,SOU,20,Southampton,74
Spurs,TOT,6,Tottenham,82
Sunderland,SUN,56,Sunderland,77
Watford,WAT,57,Watford,90
West Brom,WBA,35,West Bromwich Albion,76
West Ham,WHU,21,West Ham,81
Wolves,WOL,39,Wolverhampton Wanderers,229
