fpl_code,fpl_player_name,fpl_first_name,fpl_second_name,fpl_position,understat_player_id,understat_first_name,understat_second_name,understat_web_name,confidence_level
7645,Jagielka,Phil,Jagielka,DEF,587,Phil,Jagielka,Jagielka,HIGH
9089,Foster,Ben,Foster,GK,803,Ben,Foster,Foster,HIGH
14937,Ronaldo,Cristiano Ronaldo,dos Santos Aveiro,FWD,2371,Cristiano,Ronaldo,Ronaldo,HIGH
15033,Morgan,Wes,Morgan,DEF,748,Wes,Morgan,Morgan,HIGH
15157,Milner,James,Milner,MID,489,James,Milner,Milner,HIGH
15749,Hart,Joe,Hart,GK,609,Joe,Hart,Hart,HIGH
17349,Lennon,Aaron,Lennon,MID,593,Aaron,Lennon,Lennon,HIGH
17601,Carson,Scott,Carson,GK,8158,Scott,Carson,Carson,HIGH
17745,Schmeichel,Kasper,Schmeichel,GK,745,Kasper,Schmeichel,Schmeichel,HIGH
17761,Tarkowski,James,Tarkowski,DEF,1665,James,Tarkowski,Tarkowski,HIGH
17997,Bardsley,Phil,Bardsley,DEF,857,Phil,Bardsley,Bardsley,HIGH
18073,Noble,Mark,Noble,MID,533,Mark,Noble,Noble,HIGH
18499,McGovern,Michael,McGovern,GK,8022,Michael,McGovern,McGovern,HIGH
18507,Diego Costa,Diego,Da Silva Costa,FWD,802,Diego,Costa,Costa,HIGH
18867,Sharp,Billy,Sharp,FWD,7712,Billy,Sharp,Sharp,HIGH
18892,Young,Ashley,Young,DEF,631,Ashley,Young,Young,HIGH
18987,Snodgrass,Robert,Snodgrass,MID,1691,Robert,Snodgrass,Snodgrass,HIGH
19188,Dann,Scott,Dann,DEF,512,Scott,Dann,Dann,HIGH
19236,Ruddy,John,Ruddy,GK,785,John,Ruddy,Ruddy,HIGH
19419,Cahill,Gary,Cahill,DEF,699,Gary,Cahill,Cahill,HIGH
19624,Moutinho,João Filipe Iria,Santos Moutinho,MID,3422,João Filipe Iria,Santos Moutinho,Moutinho,HIGH
20066,Hennessey,Wayne,Hennessey,GK,509,Wayne,Hennessey,Hennessey,HIGH
20310,Caballero,Willy,Caballero,GK,624,Willy,Caballero,Caballero,HIGH
20452,Long,Shane,Long,FWD,839,Shane,Long,Long,HIGH
20467,Walcott,Theo,Walcott,MID,503,Theo,Walcott,Walcott,HIGH
20480,Krul,Tim,Krul,GK,982,Tim,Krul,Krul,HIGH
21205,Heaton,Tom,Heaton,GK,1651,Tom,Heaton,Heaton,HIGH
27436,McGoldrick,David,McGoldrick,FWD,7711,David,McGoldrick,McGoldrick,HIGH
27789,Fernandinho,Fernando,Luiz Rosa,MID,614,Fernando,Luiz Rosa,Fernandinho,HIGH
